Id,X_Coord,Y_Coord
1,25.0,0.0
2,23.0,0.0
3,21.14506,0.0
4,19.424656,0.0
5,17.829033,0.0
6,16.349138,0.0
7,14.976582,0.0
8,13.703574,0.0
9,12.522899,0.0
10,11.4278555,0.0
11,10.412236,0.0
12,9.470279,0.0
13,8.596642,0.0
14,7.7863684,0.0
15,7.034864,0.0
16,6.337866,0.0
17,5.6914206,0.0
18,5.0918617,0.0
19,4.535788,0.0
20,4.0200467,0.0
21,3.5417116,0.0
22,3.09807,0.0
23,2.6866052,0.0
24,2.3049839,0.0
25,1.9510415,0.0
26,1.6227702,0.0
27,1.3183082,0.0
28,1.0359287,0.0
29,0.77403015,0.0
30,0.5311269,0.0
31,0.30584127,0.0
32,0.096895516,0.0
33,-0.096895516,0.0
34,-0.30584127,0.0
35,-0.5311269,0.0
36,-0.77403015,0.0
37,-1.0359287,0.0
38,-1.3183081,0.0
39,-1.6227701,0.0
40,-1.9510412,0.0
41,-2.3049839,0.0
42,-2.6866052,0.0
43,-3.09807,0.0
44,-3.5417116,0.0
45,-4.0200467,0.0
46,-4.535788,0.0
47,-5.0918617,0.0
48,-5.6914206,0.0
49,-6.337866,0.0
50,-7.034864,0.0
51,-7.786369,0.0
52,-8.596642,0.0
53,-9.470279,0.0
54,-10.412236,0.0
55,-11.4278555,0.0
56,-12.522899,0.0
57,-13.703574,0.0
58,-14.976582,0.0
59,-16.349138,0.0
60,-17.829033,0.0
61,-19.424656,0.0
62,-21.14506,0.0
63,-23.0,0.0
64,-25.0,0.0
65,25.0,-0.19999999
128,-25.0,-0.19999999
129,25.0,-0.46840838
192,-25.0,-0.46840838
193,25.0,-0.82862365
256,-25.0,-0.82862365
257,25.0,-1.3120476
320,-25.0,-1.3120476
321,25.0,-1.9608228
384,-25.0,-1.9608228
385,25.0,-2.8315063
448,-25.0,-2.8315063
449,25.0,-4.0
450,23.0,-4.0
451,21.14506,-4.0
452,19.424656,-4.0
453,17.829033,-4.0
454,16.349138,-4.0
455,14.976582,-4.0
456,13.703574,-4.0
457,12.522899,-4.0
458,11.4278555,-4.0
459,10.412236,-4.0
460,9.470279,-4.0
461,8.596642,-4.0
462,7.7863684,-4.0
463,7.034864,-4.0
464,6.337866,-4.0
465,5.6914206,-4.0
466,5.0918617,-4.0
467,4.535788,-4.0
468,4.0200467,-4.0
469,3.5417116,-4.0
470,3.09807,-4.0
471,2.6866052,-4.0
472,2.3049839,-4.0
473,1.9510415,-4.0
474,1.6227702,-4.0
475,1.3183082,-4.0
476,1.0359287,-4.0
477,0.77403015,-4.0
478,0.5311269,-4.0
479,0.30584127,-4.0
480,0.096895516,-4.0
481,-0.096895516,-4.0
482,-0.30584127,-4.0
483,-0.5311269,-4.0
484,-0.77403015,-4.0
485,-1.0359287,-4.0
486,-1.3183081,-4.0
487,-1.6227701,-4.0
488,-1.9510412,-4.0
489,-2.3049839,-4.0
490,-2.6866052,-4.0
491,-3.09807,-4.0
492,-3.5417116,-4.0
493,-4.0200467,-4.0
494,-4.535788,-4.0
495,-5.0918617,-4.0
496,-5.6914206,-4.0
497,-6.337866,-4.0
498,-7.034864,-4.0
499,-7.786369,-4.0
500,-8.596642,-4.0
501,-9.470279,-4.0
502,-10.412236,-4.0
503,-11.4278555,-4.0
504,-12.522899,-4.0
505,-13.703574,-4.0
506,-14.976582,-4.0
507,-16.349138,-4.0
508,-17.829033,-4.0
509,-19.424656,-4.0
510,-21.14506,-4.0
511,-23.0,-4.0
512,-25.0,-4.0
