Id,X_Coord,Y_Coord,Z_Coord
1,0.0,62.37731,4.5
2,0.0,66.87731,0.0
3,-4.5,62.37731,0.0
4,4.5,62.37731,0.0
5,0.0,62.37731,-4.5
6,0.0,57.87731,0.0
7,0.0,64.09942,4.157458
8,0.0,65.55932,3.1819806
9,0.0,66.53478,1.7220755
10,-1.7220755,66.53478,0.0
11,-3.1819806,65.55932,0.0
12,-4.157458,64.09942,0.0
13,-4.157458,62.37731,1.7220755
14,-3.1819806,62.37731,3.1819806
15,-1.7220755,62.37731,4.157458
16,1.7220755,62.37731,4.157458
17,3.1819806,62.37731,3.1819806
18,4.157458,62.37731,1.7220755
19,4.157458,64.09942,0.0
20,3.1819806,65.55932,0.0
21,1.7220755,66.53478,0.0
22,0.0,66.53478,-1.7220755
23,0.0,65.55932,-3.1819806
24,0.0,64.09942,-4.157458
25,-1.7220755,62.37731,-4.157458
26,-3.1819806,62.37731,-3.1819806
27,-4.157458,62.37731,-1.7220755
28,0.0,58.219902,1.7220755
29,0.0,59.195366,3.1819806
30,0.0,60.655266,4.157458
31,-4.157458,60.655266,0.0
32,-3.1819806,59.195366,0.0
33,-1.7220755,58.219902,0.0
34,1.7220755,58.219902,0.0
35,3.1819806,59.195366,0.0
36,4.157458,60.655266,0.0
37,4.157458,62.37731,-1.7220755
38,3.1819806,62.37731,-3.1819806
39,1.7220755,62.37731,-4.157458
40,0.0,60.655266,-4.157458
41,0.0,59.195366,-3.1819806
42,0.0,58.219902,-1.7220755
43,-1.5283862,64.65978,3.5643232
44,-1.5239756,65.94781,2.27576
45,-2.5162427,65.02184,2.631545
46,-2.6761053,63.847466,3.3056154
47,-3.5610542,64.32574,1.9423171
48,-2.6717303,65.68951,1.4634037
49,2.273928,63.96502,3.5438066
50,2.552845,65.07366,2.5421855
51,3.319725,65.09203,1.3637131
52,2.108473,65.99621,1.6456743
53,1.8327583,65.597404,2.5538125
54,1.3649881,65.17101,3.2530448
55,1.1027105,65.90435,2.5678809
56,3.5658019,63.96038,2.2425382
57,-2.273928,63.96502,-3.5438066
58,-2.552845,65.07366,-2.5421855
59,-3.319725,65.09203,-1.3637131
60,-2.108473,65.99621,-1.6456743
61,-1.8327583,65.597404,-2.5538125
62,-1.3649881,65.17101,-3.2530448
63,-1.1027105,65.90435,-2.5678809
64,-3.5658019,63.96038,-2.2425382
65,-2.273928,60.789665,3.5438066
66,-2.552845,59.68096,2.5421855
67,-3.319725,59.66259,1.3637131
68,-2.108473,58.758476,1.6456743
69,-1.8327583,59.15722,2.5538125
70,-1.3649881,59.58367,3.2530448
71,-1.1027105,58.850273,2.5678809
72,-3.5658019,60.794243,2.2425382
73,1.5283862,60.09484,3.5643232
74,1.5239756,58.806816,2.27576
75,2.5162427,59.73278,2.631545
76,2.6761053,60.907158,3.3056154
77,3.5610542,60.428947,1.9423171
78,2.6717303,59.065178,1.4634037
79,1.5283862,64.65978,-3.5643232
80,1.5239756,65.94781,-2.27576
81,2.5162427,65.02184,-2.631545
82,2.6761053,63.847466,-3.3056154
83,3.5610542,64.32574,-1.9423171
84,2.6717303,65.68951,-1.4634037
85,-1.5283862,60.09484,-3.5643232
86,-1.5239756,58.806816,-2.27576
87,-2.5162427,59.73278,-2.631545
88,-2.6761053,60.907158,-3.3056154
89,-3.5610542,60.428947,-1.9423171
90,-2.6717303,59.065178,-1.4634037
91,2.273928,60.789665,-3.5438066
92,2.552845,59.68096,-2.5421855
93,3.319725,59.66259,-1.3637131
94,2.108473,58.758476,-1.6456743
95,1.8327583,59.15722,-2.5538125
96,1.3649881,59.58367,-3.2530448
97,1.1027105,58.850273,-2.5678809
98,3.5658019,60.794243,-2.2425382
