Id,X_Coord,Y_Coord,Z_Coord
1,-20.0,-2.5,20.0
2,-20.0,-1.280777,20.0
3,-20.0,-0.5,20.0
4,-20.0,0.0,20.0
5,-20.0,-2.5,18.0
6,-20.0,-1.280777,18.0
7,-20.0,-0.5,18.0
8,-20.0,0.0,18.0
9,-20.0,-2.5,16.151608
10,-20.0,-1.280777,16.151608
11,-20.0,-0.5,16.151608
12,-20.0,0.0,16.151608
13,-20.0,-2.5,14.443325
14,-20.0,-1.280777,14.443325
15,-20.0,-0.5,14.443325
16,-20.0,0.0,14.443325
17,-20.0,-2.5,12.864536
18,-20.0,-1.280777,12.864536
19,-20.0,-0.5,12.864536
20,-20.0,0.0,12.864536
21,-20.0,-2.5,11.405426
22,-20.0,-1.280777,11.405426
23,-20.0,-0.5,11.405426
24,-20.0,0.0,11.405426
25,-20.0,-2.5,10.056921
26,-20.0,-1.280777,10.056921
27,-20.0,-0.5,10.056921
28,-20.0,0.0,10.056921
29,-20.0,-2.5,8.8106365
30,-20.0,-1.280777,8.8106365
31,-20.0,-0.5,8.8106365
32,-20.0,0.0,8.8106365
33,-20.0,-2.5,7.658823
34,-20.0,-1.280777,7.658823
35,-20.0,-0.5,7.658823
36,-20.0,0.0,7.658823
37,-20.0,-2.5,6.5943203
38,-20.0,-1.280777,6.5943203
39,-20.0,-0.5,6.5943203
40,-20.0,0.0,6.5943203
41,-20.0,-2.5,5.61051
42,-20.0,-1.280777,5.61051
43,-20.0,-0.5,5.61051
44,-20.0,0.0,5.61051
45,-20.0,-2.5,4.701277
46,-20.0,-1.280777,4.701277
47,-20.0,-0.5,4.701277
48,-20.0,0.0,4.701277
49,-20.0,-2.5,3.8609638
50,-20.0,-1.280777,3.8609638
51,-20.0,-0.5,3.8609638
52,-20.0,0.0,3.8609638
53,-20.0,-2.5,3.0843506
54,-20.0,-1.280777,3.0843506
55,-20.0,-0.5,3.0843506
56,-20.0,0.0,3.0843506
57,-20.0,-2.5,2.3666077
58,-20.0,-1.280777,2.3666077
59,-20.0,-0.5,2.3666077
60,-20.0,0.0,2.3666077
61,-20.0,-2.5,1.70327
62,-20.0,-1.280777,1.70327
63,-20.0,-0.5,1.70327
64,-20.0,0.0,1.70327
65,-20.0,-2.5,1.0902157
66,-20.0,-1.280777,1.0902157
67,-20.0,-0.5,1.0902157
68,-20.0,0.0,1.0902157
69,-20.0,-2.5,0.523634
70,-20.0,-1.280777,0.523634
71,-20.0,-0.5,0.523634
72,-20.0,0.0,0.523634
73,-20.0,-2.5,0.0
74,-20.0,-1.280777,0.0
75,-20.0,-0.5,0.0
76,-20.0,0.0,0.0
77,-20.0,-2.5,-0.523634
78,-20.0,-1.280777,-0.523634
79,-20.0,-0.5,-0.523634
80,-20.0,0.0,-0.523634
81,-20.0,-2.5,-1.0902157
82,-20.0,-1.280777,-1.0902157
83,-20.0,-0.5,-1.0902157
84,-20.0,0.0,-1.0902157
85,-20.0,-2.5,-1.70327
86,-20.0,-1.280777,-1.70327
87,-20.0,-0.5,-1.70327
88,-20.0,0.0,-1.70327
89,-20.0,-2.5,-2.3666077
90,-20.0,-1.280777,-2.3666077
91,-20.0,-0.5,-2.3666077
92,-20.0,0.0,-2.3666077
93,-20.0,-2.5,-3.0843506
94,-20.0,-1.280777,-3.0843506
95,-20.0,-0.5,-3.0843506
96,-20.0,0.0,-3.0843506
97,-20.0,-2.5,-3.8609638
98,-20.0,-1.280777,-3.8609638
99,-20.0,-0.5,-3.8609638
100,-20.0,0.0,-3.8609638
101,-20.0,-2.5,-4.701276
102,-20.0,-1.280777,-4.701276
103,-20.0,-0.5,-4.701276
104,-20.0,0.0,-4.701276
105,-20.0,-2.5,-5.61051
106,-20.0,-1.280777,-5.61051
107,-20.0,-0.5,-5.61051
108,-20.0,0.0,-5.61051
109,-20.0,-2.5,-6.5943203
110,-20.0,-1.280777,-6.5943203
111,-20.0,-0.5,-6.5943203
112,-20.0,0.0,-6.5943203
113,-20.0,-2.5,-7.658823
114,-20.0,-1.280777,-7.658823
115,-20.0,-0.5,-7.658823
116,-20.0,0.0,-7.658823
117,-20.0,-2.5,-8.810636
118,-20.0,-1.280777,-8.810636
119,-20.0,-0.5,-8.810636
120,-20.0,0.0,-8.810636
121,-20.0,-2.5,-10.056921
122,-20.0,-1.280777,-10.056921
123,-20.0,-0.5,-10.056921
124,-20.0,0.0,-10.056921
125,-20.0,-2.5,-11.405427
126,-20.0,-1.280777,-11.405427
127,-20.0,-0.5,-11.405427
128,-20.0,0.0,-11.405427
129,-20.0,-2.5,-12.864538
130,-20.0,-1.280777,-12.864538
131,-20.0,-0.5,-12.864538
132,-20.0,0.0,-12.864538
133,-20.0,-2.5,-14.443326
134,-20.0,-1.280777,-14.443326
135,-20.0,-0.5,-14.443326
136,-20.0,0.0,-14.443326
137,-20.0,-2.5,-16.151606
138,-20.0,-1.280777,-16.151606
139,-20.0,-0.5,-16.151606
140,-20.0,0.0,-16.151606
141,-20.0,-2.5,-18.0
142,-20.0,-1.280777,-18.0
143,-20.0,-0.5,-18.0
144,-20.0,0.0,-18.0
145,-20.0,-2.5,-20.0
146,-20.0,-1.280777,-20.0
147,-20.0,-0.5,-20.0
148,-20.0,0.0,-20.0
149,-18.0,-2.5,20.0
150,-18.0,-1.280777,20.0
151,-18.0,-0.5,20.0
152,-18.0,0.0,20.0
153,-18.0,-2.5,18.0
156,-18.0,0.0,18.0
157,-18.0,-2.5,16.151608
160,-18.0,0.0,16.151608
161,-18.0,-2.5,14.443325
164,-18.0,0.0,14.443325
165,-18.0,-2.5,12.864536
168,-18.0,0.0,12.864536
169,-18.0,-2.5,11.405426
172,-18.0,0.0,11.405426
173,-18.0,-2.5,10.056921
176,-18.0,0.0,10.056921
177,-18.0,-2.5,8.8106365
180,-18.0,0.0,8.8106365
181,-18.0,-2.5,7.658823
184,-18.0,0.0,7.658823
185,-18.0,-2.5,6.5943203
188,-18.0,0.0,6.5943203
189,-18.0,-2.5,5.61051
192,-18.0,0.0,5.61051
193,-18.0,-2.5,4.701277
196,-18.0,0.0,4.701277
197,-18.0,-2.5,3.8609638
200,-18.0,0.0,3.8609638
201,-18.0,-2.5,3.0843506
204,-18.0,0.0,3.0843506
