Id,X_Disp,Y_Disp
1,0.0,0.0
2,-0.23521304,-0.21238661
3,-0.3564692,-0.3735447
4,-0.35965887,-0.6104121
5,-0.34400967,-0.83891916
6,-0.33189017,-1.0502911
7,-0.3193441,-1.2469544
8,-0.3079918,-1.4301887
9,-0.29674327,-1.5997424
10,-0.28653246,-1.7575445
11,-0.27652,-1.9033694
12,-0.26747322,-2.0389087
13,-0.25862905,-2.1640613
14,-0.25070068,-2.2802532
15,-0.24293616,-2.3875685
16,-0.23603718,-2.4870973
17,-0.22925267,-2.5791006
18,-0.22327732,-2.664294
19,-0.21735293,-2.7431111
20,-0.21210285,-2.8160007
21,-0.20687267,-2.8834617
22,-0.20213626,-2.9457827
23,-0.19723578,-3.0033002
24,-0.19285746,-3.0564024
25,-0.18743384,-3.104955
26,-0.17706205,-3.1440687
27,-0.15851972,-3.1737094
28,-0.13500524,-3.1934767
29,-0.09940041,-3.2216134
30,-0.049602345,-3.2600162
31,-0.0020831558,-3.2953687
32,-0.0005590141,-3.3366218
33,0.00034423365,-3.336586
34,0.0021945685,-3.2953858
35,0.04925001,-3.2599263
36,0.09919346,-3.2215388
37,0.13527742,-3.1936138
38,0.15844725,-3.1736124
39,0.17699921,-3.144029
40,0.18742318,-3.1049626
41,0.19281425,-3.0563657
42,0.19719943,-3.0032892
43,0.20210806,-2.9457586
44,0.20683488,-2.8834538
45,0.21207726,-2.8159893
46,0.21732406,-2.743102
47,0.22325285,-2.66426
48,0.22922853,-2.5790813
49,0.23601669,-2.4871175
50,0.24291125,-2.3875613
51,0.25067893,-2.2802696
52,0.25860655,-2.164071
53,0.26745227,-2.0389023
54,0.27649882,-1.9033544
55,0.28651327,-1.757534
56,0.2967227,-1.5997291
57,0.30796927,-1.4301915
58,0.31932795,-1.2469611
59,0.33186537,-1.050272
60,0.34400296,-0.83884573
61,0.3596425,-0.61045694
62,0.35641897,-0.3734846
63,0.23520891,-0.21244049
64,0.0,0.0
65,0.0,0.0
66,-0.21723485,-0.19687748
67,-0.3329638,-0.37116766
68,-0.33004373,-0.6077399
69,-0.31616405,-0.8372164
70,-0.3028917,-1.0476456
71,-0.29099527,-1.2451735
72,-0.2790094,-1.4277396
73,-0.26824996,-1.5978866
74,-0.2575745,-1.7551913
75,-0.2480154,-1.9014759
76,-0.23857524,-2.0366094
77,-0.2301881,-2.1621127
78,-0.22188865,-2.2780423
79,-0.21459156,-2.3855937
80,-0.20733625,-2.4850156
81,-0.20101143,-2.5770903
82,-0.19470607,-2.6622508
83,-0.1891909,-2.7410915
84,-0.18369962,-2.8140829
85,-0.17882386,-2.8814747
86,-0.17389378,-2.943947
87,-0.16947548,-3.0014398
88,-0.164701,-3.0547764
89,-0.16053793,-3.1035535
90,-0.15286012,-3.1461322
91,-0.13941514,-3.178902
92,-0.11822859,-3.2031822
93,-0.07778707,-3.2336383
94,-0.033889674,-3.271029
95,-0.0073878467,-3.29688
96,-0.0015631865,-3.2971404
97,0.0014959163,-3.297291
98,0.0069008083,-3.2968378
99,0.034143895,-3.2710009
100,0.07764294,-3.233854
101,0.1182315,-3.2031538
102,0.13934265,-3.1787994
103,0.15285829,-3.1461298
104,0.16049674,-3.1035037
105,0.16465896,-3.0547404
106,0.16944885,-3.0014303
107,0.17385589,-2.9439137
108,0.17879337,-2.8814752
109,0.18366794,-2.8140457
110,0.18916315,-2.7410924
111,0.19467951,-2.6622581
112,0.20098709,-2.577081
113,0.20731375,-2.4850097
114,0.21456914,-2.3855965
115,0.2218625,-2.2780988
116,0.23016581,-2.1621275
117,0.23855153,-2.036615
118,0.2479966,-1.9014513
119,0.2575495,-1.755178
120,0.26822737,-1.5979149
121,0.27898732,-1.4277067
122,0.29097542,-1.2451651
123,0.30287486,-1.0476842
124,0.31615028,-0.8371787
125,0.33004043,-0.60774374
126,0.33290526,-0.37123108
127,0.21723793,-0.19680119
128,0.0,0.0
129,0.0,0.0
130,-0.19493142,-0.17858362
131,-0.29885548,-0.3672819
132,-0.29153714,-0.6050439
133,-0.27774525,-0.8340268
134,-0.2648464,-1.045002
135,-0.25224465,-1.2420654
136,-0.24077342,-1.4250472
137,-0.2294328,-1.5948615
138,-0.21929835,-1.752536
139,-0.20922123,-1.8984823
140,-0.20036176,-2.0339184
141,-0.19148587,-2.1592724
142,-0.18378338,-2.275337
143,-0.1760361,-2.3828263
144,-0.16935569,-2.482247
145,-0.16263379,-2.5743773
146,-0.1568322,-2.6595206
147,-0.1509969,-2.7384305
148,-0.14595175,-2.8113608
149,-0.14082094,-2.878937
150,-0.13639092,-2.9413137
151,-0.13178127,-2.999135
152,-0.12763897,-3.0522594
153,-0.12340664,-3.1014264
154,-0.11895992,-3.14611
155,-0.110108085,-3.1833277
156,-0.09191566,-3.2141342
157,-0.05840158,-3.2471447
158,-0.025513213,-3.2772417
159,-0.010580149,-3.2908359
160,-0.0035452815,-3.2930653
161,0.0033030694,-3.2928553
162,0.010504852,-3.2910562
163,0.02558527,-3.2768717
164,0.057952367,-3.24748
165,0.09171369,-3.214029
166,0.11016621,-3.1833322
167,0.11895172,-3.1460872
168,0.12335896,-3.1014206
169,0.12761584,-3.0522058
170,0.13174754,-2.999083
171,0.13636617,-2.9412706
172,0.14079355,-2.878909
173,0.14592358,-2.8113368
174,0.15097205,-2.7384183
175,0.15680765,-2.6595154
176,0.16261002,-2.5743463
177,0.16933252,-2.4822576
178,0.17601553,-2.3827841
179,0.1837624,-2.2753274
180,0.1914622,-2.1592674
181,0.20034228,-2.0339115
182,0.2091979,-1.898519
183,0.21927942,-1.7524855
184,0.22941318,-1.5948634
185,0.24075449,-1.4250364
186,0.2522249,-1.242105
187,0.26482496,-1.0451012
188,0.27773052,-0.8340225
189,0.29152727,-0.605062
190,0.2988153,-0.3674569
191,0.19491008,-0.17864275
192,0.0,0.0
193,0.0,0.0
194,-0.16633953,-0.15777016
195,-0.25125247,-0.36241722
196,-0.24009289,-0.60174704
197,-0.22641996,-0.8298378
198,-0.2133483,-1.0415497
199,-0.20082167,-1.238147
200,-0.18887845,-1.4212911
201,-0.17802107,-1.5909939
202,-0.167281,-1.7487628
203,-0.15788685,-1.8946347
204,-0.14840904,-2.0301957
205,-0.14027132,-2.155415
206,-0.13201384,-2.271693
207,-0.12496018,-2.3790116
208,-0.11782387,-2.478636
209,-0.11171468,-2.5706213
210,-0.10554927,-2.6559606
211,-0.10025752,-2.7347403
212,-0.0949001,-2.8078077
213,-0.09030379,-2.875287
214,-0.085666515,-2.9378424
215,-0.081643574,-2.9955437
216,-0.07756458,-3.0490468
217,-0.0739256,-3.098109
218,-0.07046369,-3.1436045
219,-0.06627029,-3.1851754
220,-0.0565607,-3.2218664
221,-0.0376926,-3.257213
222,-0.019419419,-3.279944
223,-0.007421783,-3.2902548
224,-0.0024155362,-3.2938995
225,0.0022798264,-3.2941194
226,0.007224089,-3.2900834
227,0.019290568,-3.2800612
228,0.037772115,-3.257069
229,0.056625545,-3.22186
230,0.0662262,-3.1851354
231,0.07042915,-3.1435452
232,0.07391639,-3.0980968
233,0.07752974,-3.0489967
234,0.08161842,-2.9955544
235,0.08564212,-2.9378152
236,0.09027632,-2.8752482
237,0.09487484,-2.807823
238,0.10023387,-2.7347155
239,0.10552683,-2.6559422
240,0.11169279,-2.570592
241,0.11780059,-2.4785814
242,0.12493971,-2.379005
243,0.13198997,-2.271657
244,0.14024544,-2.1554
245,0.14838876,-2.0301483
246,0.15786687,-1.8946493
247,0.16726212,-1.748718
248,0.17799956,-1.5909805
249,0.18885447,-1.4212859
250,0.20080344,-1.2381418
251,0.21333127,-1.0414343
252,0.22640535,-0.8298116
253,0.24007629,-0.6017542
254,0.25122735,-0.36241627
255,0.16631003,-0.15771961
256,0.0,0.0
257,0.0,0.0
258,-0.12823285,-0.13562727
259,-0.18548284,-0.35648203
260,-0.17145503,-0.59705734
261,-0.15760638,-0.82466316
262,-0.14439994,-1.0361643
263,-0.13146608,-1.2332582
264,-0.11986084,-1.4158666
265,-0.10833191,-1.5861459
266,-0.098322235,-1.7433147
267,-0.0881974,-1.8897581
268,-0.07956061,-2.0248618
269,-0.07078101,-2.150542
270,-0.06332637,-2.2664375
271,-0.055768088,-2.3741646
272,-0.04933541,-2.4734926
273,-0.042854015,-2.565789
274,-0.037320595,-2.6509545
275,-0.031745926,-2.7299364
276,-0.026983932,-2.802869
277,-0.022189764,-2.8704934
278,-0.018098503,-2.932936
279,-0.014052612,-2.990789
280,-0.010656591,-3.0441556
281,-0.0073386915,-3.093573
282,-0.0041547017,-3.1389894
283,-0.001642987,-3.1815093
284,0.0009624753,-3.2221737
285,0.0016759024,-3.2551446
286,-5.7273057e-05,-3.278578
287,-0.0012203929,-3.2906685
288,0.00010075354,-3.2948465
289,-0.00025941842,-3.2946568
290,0.0010194991,-3.2908905
291,3.1872787e-06,-3.2784784
292,-0.0018691325,-3.255309
293,-0.0010192853,-3.2220736
294,0.0016298728,-3.1814272
295,0.0041511217,-3.138965
296,0.007309025,-3.093552
297,0.010649446,-3.0441587
298,0.014030538,-2.9907513
299,0.018072912,-2.9328976
300,0.022170367,-2.8704984
301,0.026959058,-2.802891
302,0.03172445,-2.729945
303,0.037302304,-2.650918
304,0.042831745,-2.5657594
305,0.049314525,-2.473508
306,0.055745944,-2.3741598
307,0.06330211,-2.2664611
308,0.07075821,-2.1505175
309,0.079538815,-2.0248659
310,0.088176005,-1.8897941
311,0.09829976,-1.7433357
312,0.108308874,-1.586154
313,0.11984258,-1.4158275
314,0.13144411,-1.2332478
315,0.14438319,-1.0361114
316,0.15758786,-0.82464504
317,0.17144608,-0.59700584
318,0.18545492,-0.35650587
319,0.12822148,-0.13565779
320,0.0,0.0
321,0.0,0.0
322,-0.07563129,-0.11642456
323,-0.09475727,-0.3481369
324,-0.08024735,-0.59145355
325,-0.06543373,-0.8169694
326,-0.051521245,-1.0299673
327,-0.03902878,-1.225744
328,-0.026485499,-1.4096026
329,-0.01574319,-1.5786641
330,-0.004868284,-1.7369359
331,0.0043515842,-1.8825152
332,0.013696906,-2.0184143
333,0.021597492,-2.143451
334,0.029581798,-2.2599063
335,0.03635311,-2.3672502
336,0.04315604,-2.4669566
337,0.048943415,-2.5589485
338,0.054721978,-2.6443422
339,0.059612148,-2.7232203
340,0.06451195,-2.796313
341,0.068673715,-2.8638756
342,0.07281235,-2.9263513
343,0.07629539,-2.9840736
344,0.07971754,-3.0375485
345,0.082550004,-3.0869272
346,0.084778145,-3.1324427
347,0.08608275,-3.173426
348,0.079197764,-3.2072744
349,0.0655152,-3.2367706
350,0.047375534,-3.2586408
351,0.0272228,-3.2738786
352,0.007357183,-3.281468
353,-0.0073487754,-3.28165
354,-0.027220145,-3.27383
355,-0.047646213,-3.2587078
356,-0.065666854,-3.2364635
357,-0.07965234,-3.207519
358,-0.08612941,-3.1735258
359,-0.084799826,-3.132371
360,-0.0825544,-3.0869527
361,-0.07974167,-3.037528
362,-0.07630683,-2.98404
363,-0.07282372,-2.9263809
364,-0.06869664,-2.8638775
365,-0.06452923,-2.7962966
366,-0.059631202,-2.723214
367,-0.05474317,-2.644363
368,-0.0489631,-2.5589285
369,-0.04317612,-2.4669392
370,-0.036372725,-2.3671954
371,-0.029602502,-2.2599154
372,-0.021619467,-2.1434445
373,-0.013717344,-2.0183694
374,-0.0043736044,-1.8825266
375,0.0048451233,-1.736918
376,0.015719673,-1.5787151
377,0.026464796,-1.4095483
378,0.039008837,-1.2257626
379,0.051500037,-1.0299969
380,0.06541734,-0.8170419
381,0.080225594,-0.5914736
382,0.09474468,-0.3482256
383,0.0755981,-0.116364
384,0.0,0.0
385,0.0,0.0
386,0.0096702445,-0.10391617
387,0.025816089,-0.34101963
388,0.04278329,-0.5807514
389,0.058355726,-0.80970716
390,0.07238012,-1.0193629
391,0.08600704,-1.2177708
392,0.097818315,-1.3993974
