Id,X_Disp,Y_Disp
1,0.0,0.0
2,-0.23521304,-0.21238661
3,-0.3564692,-0.3735447
4,-0.35965887,-0.6104121
5,-0.34400967,-0.83891916
6,-0.33189017,-1.0502911
7,-0.3193441,-1.2469544
8,-0.3079918,-1.4301887
9,-0.29674327,-1.5997424
10,-0.28653246,-1.7575445
11,-0.27652,-1.9033694
12,-0.26747322,-2.0389087
13,-0.25862905,-2.1640613
14,-0.25070068,-2.2802532
15,-0.24293616,-2.3875685
16,-0.23603718,-2.4870973
17,-0.22925267,-2.5791006
18,-0.22327732,-2.664294
19,-0.21735293,-2.7431111
20,-0.21210285,-2.8160007
21,-0.20687267,-2.8834617
22,-0.20213626,-2.9457827
23,-0.19723578,-3.0033002
24,-0.19285746,-3.0564024
25,-0.18743384,-3.104955
26,-0.17706205,-3.1440687
27,-0.15851972,-3.1737094
28,-0.13500524,-3.1934767
29,-0.09940041,-3.2216134
30,-0.049602345,-3.2600162
31,-0.0020831558,-3.2953687
32,-0.0005590141,-3.3366218
33,0.00034423365,-3.336586
34,0.0021945685,-3.2953858
35,0.04925001,-3.2599263
36,0.09919346,-3.2215388
37,0.13527742,-3.1936138
38,0.15844725,-3.1736124
39,0.17699921,-3.144029
40,0.18742318,-3.1049626
41,0.19281425,-3.0563657
42,0.19719943,-3.0032892
43,0.20210806,-2.9457586
44,0.20683488,-2.8834538
45,0.21207726,-2.8159893
46,0.21732406,-2.743102
47,0.22325285,-2.66426
48,0.22922853,-2.5790813
49,0.23601669,-2.4871175
50,0.24291125,-2.3875613
51,0.25067893,-2.2802696
52,0.25860655,-2.164071
53,0.26745227,-2.0389023
54,0.27649882,-1.9033544
55,0.28651327,-1.757534
56,0.2967227,-1.5997291
57,0.30796927,-1.4301915
58,0.31932795,-1.2469611
59,0.33186537,-1.050272
60,0.34400296,-0.83884573
61,0.3596425,-0.61045694
62,0.35641897,-0.3734846
63,0.23520891,-0.21244049
64,0.0,0.0
65,0.0,0.0
128,0.0,0.0
129,0.0,0.0
192,0.0,0.0
193,0.0,0.0
256,0.0,0.0
257,0.0,0.0
320,0.0,0.0
321,0.0,0.0
384,0.0,0.0
385,0.0,0.0
448,0.0,0.0
449,0.0,0.0
450,0.12467049,-0.1246562
451,0.19014116,-0.32564068
452,0.20783149,-0.57207394
453,0.22431941,-0.7954216
454,0.23967956,-1.0090218
455,0.25308034,-1.2039423
456,0.2659062,-1.3883252
457,0.27689415,-1.5568907
458,0.28768945,-1.7153513
459,0.2967799,-1.8607719
460,0.3057588,-1.9967349
461,0.31329212,-2.121709
462,0.32074314,-2.2382936
463,0.32699165,-2.345587
464,0.33317018,-2.4453697
465,0.33835363,-2.5374153
466,0.3434884,-2.6228688
467,0.34778738,-2.7016926
468,0.3516748,-2.774586
469,0.35425046,-2.841732
470,0.35544807,-2.903167
471,0.3528162,-2.9581845
472,0.34398296,-3.005351
473,0.32488656,-3.0426903
474,0.2944101,-3.0697873
475,0.26022568,-3.0905344
476,0.21915933,-3.1041741
477,0.1739066,-3.1111562
478,0.12598442,-3.1116228
479,0.075960614,-3.1099184
480,0.022641242,-3.1068437
481,-0.023300145,-3.1070259
482,-0.07585185,-3.1100838
483,-0.12553278,-3.1119692
484,-0.1739336,-3.1109822
485,-0.21978465,-3.1043537
486,-0.25975123,-3.0902953
487,-0.29451638,-3.0698
488,-0.3251879,-3.04287
489,-0.34407178,-3.0053618
490,-0.3528567,-2.9581366
491,-0.3554766,-2.9031625
492,-0.35425308,-2.8417091
493,-0.35167885,-2.774581
494,-0.34780556,-2.7016609
495,-0.34351003,-2.6228523
496,-0.3383708,-2.5374227
497,-0.33318952,-2.4453797
498,-0.3270108,-2.3456242
499,-0.3207607,-2.2382362
500,-0.31331342,-2.1217551
501,-0.30577788,-1.9967215
502,-0.2968018,-1.8607333
503,-0.2877126,-1.7153666
504,-0.2769173,-1.5568852
505,-0.26592928,-1.3883076
506,-0.25310037,-1.2039328
507,-0.23970674,-1.0090389
508,-0.22433853,-0.79542637
509,-0.2078558,-0.5720701
510,-0.19015676,-0.3255992
511,-0.124675706,-0.12468386
512,0.0,0.0
