Id,X_Disp,Y_Disp
1,0.0,0.0
2,-0.472783,-0.45949078
3,-0.7144237,-0.78251576
4,-0.7197877,-1.2238977
5,-0.6617355,-1.6551147
6,-0.60944736,-2.0547156
7,-0.5609986,-2.4251912
8,-0.51583743,-2.770052
9,-0.4737616,-3.0893908
10,-0.434764,-3.3864517
11,-0.3983957,-3.6616018
12,-0.3647442,-3.917431
13,-0.33333242,-4.154391
14,-0.30431852,-4.374642
15,-0.277181,-4.578663
16,-0.2521885,-4.7682023
17,-0.2287484,-4.9438205
18,-0.20727095,-5.106845
19,-0.18711087,-5.258019
20,-0.1687724,-5.3982325
21,-0.15169804,-5.5287824
22,-0.13652565,-5.6506166
23,-0.124960706,-5.767167
24,-0.11898143,-5.881615
25,-0.12394411,-6.0047655
26,-0.1414203,-6.148778
27,-0.15247892,-6.331905
28,-0.15316062,-6.4863205
29,-0.13975948,-6.5360093
30,-0.046985574,-6.566029
31,0.004108799,-6.6008596
32,0.005635542,-6.642335
33,-0.0011790912,-6.6430125
34,-0.0018339001,-6.6015396
35,0.048338655,-6.5668907
36,0.13561358,-6.5360975
37,0.1562765,-6.488365
38,0.1551139,-6.335045
39,0.14207548,-6.147677
40,0.12444551,-6.0034723
41,0.11946839,-5.880117
42,0.1250367,-5.7654195
43,0.13671869,-5.649001
44,0.15181969,-5.52714
45,0.168908,-5.3966584
46,0.18722601,-5.256474
47,0.20738597,-5.10535
48,0.22884874,-4.942382
49,0.25228378,-4.7668195
50,0.2772667,-4.5773377
51,0.30439323,-4.373373
52,0.3334046,-4.1531806
53,0.3648021,-3.9162872
54,0.3984488,-3.660524
55,0.43479908,-3.3854504
56,0.47380003,-3.088447
57,0.51584667,-2.769175
58,0.5610234,-2.4243565
59,0.60940456,-2.0539508
60,0.6617305,-1.6544771
61,0.71968126,-1.2233374
62,0.71403766,-0.78219676
63,0.47252446,-0.4592347
64,0.0,0.0
65,0.0,0.0
66,-0.2984089,-0.318295
67,-0.4489424,-0.72751236
68,-0.40335768,-1.1796975
69,-0.34716055,-1.6118102
70,-0.29464424,-2.0103555
71,-0.2457522,-2.3817267
72,-0.20020205,-2.7256393
73,-0.15798596,-3.0456643
74,-0.118619405,-3.3420296
75,-0.08219341,-3.6176796
76,-0.048211005,-3.8729694
77,-0.016809186,-4.1103215
78,0.012520772,-4.3301682
