Id,X_Coord,Y_Coord,Z_Coord
1,-20.0,-1.0,20.0
2,-20.0,0.0,20.0
3,-20.0,-1.0,18.0
4,-20.0,0.0,18.0
5,-20.0,-1.0,16.151608
6,-20.0,0.0,16.151608
7,-20.0,-1.0,14.443325
8,-20.0,0.0,14.443325
9,-20.0,-1.0,12.864536
10,-20.0,0.0,12.864536
11,-20.0,-1.0,11.405426
12,-20.0,0.0,11.405426
13,-20.0,-1.0,10.056921
14,-20.0,0.0,10.056921
15,-20.0,-1.0,8.8106365
16,-20.0,0.0,8.8106365
17,-20.0,-1.0,7.658823
18,-20.0,0.0,7.658823
19,-20.0,-1.0,6.5943203
20,-20.0,0.0,6.5943203
21,-20.0,-1.0,5.61051
22,-20.0,0.0,5.61051
23,-20.0,-1.0,4.701277
24,-20.0,0.0,4.701277
25,-20.0,-1.0,3.8609638
26,-20.0,0.0,3.8609638
27,-20.0,-1.0,3.0843506
28,-20.0,0.0,3.0843506
29,-20.0,-1.0,2.3666077
30,-20.0,0.0,2.3666077
31,-20.0,-1.0,1.70327
32,-20.0,0.0,1.70327
33,-20.0,-1.0,1.0902157
34,-20.0,0.0,1.0902157
35,-20.0,-1.0,0.523634
36,-20.0,0.0,0.523634
37,-20.0,-1.0,0.0
38,-20.0,0.0,0.0
39,-20.0,-1.0,-0.523634
40,-20.0,0.0,-0.523634
41,-20.0,-1.0,-1.0902157
42,-20.0,0.0,-1.0902157
43,-20.0,-1.0,-1.70327
44,-20.0,0.0,-1.70327
45,-20.0,-1.0,-2.3666077
46,-20.0,0.0,-2.3666077
47,-20.0,-1.0,-3.0843506
48,-20.0,0.0,-3.0843506
49,-20.0,-1.0,-3.8609638
50,-20.0,0.0,-3.8609638
51,-20.0,-1.0,-4.701276
52,-20.0,0.0,-4.701276
53,-20.0,-1.0,-5.61051
54,-20.0,0.0,-5.61051
55,-20.0,-1.0,-6.5943203
56,-20.0,0.0,-6.5943203
57,-20.0,-1.0,-7.658823
58,-20.0,0.0,-7.658823
59,-20.0,-1.0,-8.810636
60,-20.0,0.0,-8.810636
61,-20.0,-1.0,-10.056921
62,-20.0,0.0,-10.056921
63,-20.0,-1.0,-11.405427
64,-20.0,0.0,-11.405427
65,-20.0,-1.0,-12.864538
66,-20.0,0.0,-12.864538
67,-20.0,-1.0,-14.443326
68,-20.0,0.0,-14.443326
69,-20.0,-1.0,-16.151606
70,-20.0,0.0,-16.151606
71,-20.0,-1.0,-18.0
72,-20.0,0.0,-18.0
73,-20.0,-1.0,-20.0
74,-20.0,0.0,-20.0
75,-18.0,-1.0,20.0
76,-18.0,0.0,20.0
77,-18.0,-1.0,18.0
78,-18.0,0.0,18.0
79,-18.0,-1.0,16.151608
80,-18.0,0.0,16.151608
81,-18.0,-1.0,14.443325
82,-18.0,0.0,14.443325
83,-18.0,-1.0,12.864536
84,-18.0,0.0,12.864536
85,-18.0,-1.0,11.405426
86,-18.0,0.0,11.405426
87,-18.0,-1.0,10.056921
88,-18.0,0.0,10.056921
89,-18.0,-1.0,8.8106365
90,-18.0,0.0,8.8106365
91,-18.0,-1.0,7.658823
92,-18.0,0.0,7.658823
93,-18.0,-1.0,6.5943203
94,-18.0,0.0,6.5943203
95,-18.0,-1.0,5.61051
96,-18.0,0.0,5.61051
97,-18.0,-1.0,4.701277
98,-18.0,0.0,4.701277
99,-18.0,-1.0,3.8609638
100,-18.0,0.0,3.8609638
101,-18.0,-1.0,3.0843506
102,-18.0,0.0,3.0843506
103,-18.0,-1.0,2.3666077
104,-18.0,0.0,2.3666077
105,-18.0,-1.0,1.70327
106,-18.0,0.0,1.70327
107,-18.0,-1.0,1.0902157
108,-18.0,0.0,1.0902157
109,-18.0,-1.0,0.523634
110,-18.0,0.0,0.523634
111,-18.0,-1.0,0.0
112,-18.0,0.0,0.0
113,-18.0,-1.0,-0.523634
114,-18.0,0.0,-0.523634
115,-18.0,-1.0,-1.0902157
116,-18.0,0.0,-1.0902157
117,-18.0,-1.0,-1.70327
118,-18.0,0.0,-1.70327
119,-18.0,-1.0,-2.3666077
120,-18.0,0.0,-2.3666077
121,-18.0,-1.0,-3.0843506
122,-18.0,0.0,-3.0843506
123,-18.0,-1.0,-3.8609638
124,-18.0,0.0,-3.8609638
125,-18.0,-1.0,-4.701276
126,-18.0,0.0,-4.701276
127,-18.0,-1.0,-5.61051
128,-18.0,0.0,-5.61051
129,-18.0,-1.0,-6.5943203
130,-18.0,0.0,-6.5943203
131,-18.0,-1.0,-7.658823
132,-18.0,0.0,-7.658823
133,-18.0,-1.0,-8.810636
134,-18.0,0.0,-8.810636
135,-18.0,-1.0,-10.056921
136,-18.0,0.0,-10.056921
137,-18.0,-1.0,-11.405427
138,-18.0,0.0,-11.405427
139,-18.0,-1.0,-12.864538
140,-18.0,0.0,-12.864538
141,-18.0,-1.0,-14.443326
142,-18.0,0.0,-14.443326
143,-18.0,-1.0,-16.151606
144,-18.0,0.0,-16.151606
145,-18.0,-1.0,-18.0
146,-18.0,0.0,-18.0
147,-18.0,-1.0,-20.0
148,-18.0,0.0,-20.0
149,-16.151606,-1.0,20.0
150,-16.151606,0.0,20.0
151,-16.151606,-1.0,18.0
152,-16.151606,0.0,18.0
153,-16.151606,-1.0,16.151608
154,-16.151606,0.0,16.151608
155,-16.151606,-1.0,14.443325
156,-16.151606,0.0,14.443325
157,-16.151606,-1.0,12.864536
158,-16.151606,0.0,12.864536
159,-16.151606,-1.0,11.405426
160,-16.151606,0.0,11.405426
161,-16.151606,-1.0,10.056921
162,-16.151606,0.0,10.056921
163,-16.151606,-1.0,8.8106365
164,-16.151606,0.0,8.8106365
165,-16.151606,-1.0,7.658823
166,-16.151606,0.0,7.658823
167,-16.151606,-1.0,6.5943203
168,-16.151606,0.0,6.5943203
169,-16.151606,-1.0,5.61051
170,-16.151606,0.0,5.61051
171,-16.151606,-1.0,4.701277
172,-16.151606,0.0,4.701277
173,-16.151606,-1.0,3.8609638
174,-16.151606,0.0,3.8609638
175,-16.151606,-1.0,3.0843506
176,-16.151606,0.0,3.0843506
177,-16.151606,-1.0,2.3666077
178,-16.151606,0.0,2.3666077
179,-16.151606,-1.0,1.70327
180,-16.151606,0.0,1.70327
181,-16.151606,-1.0,1.0902157
182,-16.151606,0.0,1.0902157
183,-16.151606,-1.0,0.523634
184,-16.151606,0.0,0.523634
185,-16.151606,-1.0,0.0
186,-16.151606,0.0,0.0
187,-16.151606,-1.0,-0.523634
188,-16.151606,0.0,-0.523634
189,-16.151606,-1.0,-1.0902157
190,-16.151606,0.0,-1.0902157
191,-16.151606,-1.0,-1.70327
192,-16.151606,0.0,-1.70327
193,-16.151606,-1.0,-2.3666077
194,-16.151606,0.0,-2.3666077
195,-16.151606,-1.0,-3.0843506
196,-16.151606,0.0,-3.0843506
197,-16.151606,-1.0,-3.8609638
198,-16.151606,0.0,-3.8609638
199,-16.151606,-1.0,-4.701276
200,-16.151606,0.0,-4.701276
201,-16.151606,-1.0,-5.61051
202,-16.151606,0.0,-5.61051
203,-16.151606,-1.0,-6.5943203
