Id,X_Coord,Y_Coord,Z_Coord
1,0.0,308.93478,4.5
2,0.0,313.43478,0.0
3,-4.5,308.93478,0.0
4,4.5,308.93478,0.0
5,0.0,308.93478,-4.5
6,0.0,304.43478,0.0
7,0.0,310.65683,4.157458
8,0.0,312.1168,3.1819806
9,0.0,313.09225,1.7220755
10,-1.7220755,313.09225,0.0
11,-3.1819806,312.1168,0.0
12,-4.157458,310.65683,0.0
13,-4.157458,308.93478,1.7220755
14,-3.1819806,308.93478,3.1819806
15,-1.7220755,308.93478,4.157458
16,1.7220755,308.93478,4.157458
17,3.1819806,308.93478,3.1819806
18,4.157458,308.93478,1.7220755
19,4.157458,310.65683,0.0
20,3.1819806,312.1168,0.0
21,1.7220755,313.09225,0.0
22,0.0,313.09225,-1.7220755
23,0.0,312.1168,-3.1819806
24,0.0,310.65683,-4.157458
25,-1.7220755,308.93478,-4.157458
26,-3.1819806,308.93478,-3.1819806
27,-4.157458,308.93478,-1.7220755
28,0.0,304.7773,1.7220755
29,0.0,305.75278,3.1819806
30,0.0,307.21274,4.157458
31,-4.157458,307.21274,0.0
32,-3.1819806,305.75278,0.0
33,-1.7220755,304.7773,0.0
34,1.7220755,304.7773,0.0
35,3.1819806,305.75278,0.0
36,4.157458,307.21274,0.0
37,4.157458,308.93478,-1.7220755
38,3.1819806,308.93478,-3.1819806
39,1.7220755,308.93478,-4.157458
40,0.0,307.21274,-4.157458
41,0.0,305.75278,-3.1819806
42,0.0,304.7773,-1.7220755
43,-1.5283862,311.21725,3.5643232
44,-1.5239756,312.50528,2.27576
45,-2.5162427,311.5793,2.631545
46,-2.6761053,310.40494,3.3056154
47,-3.5610542,310.8832,1.9423171
48,-2.6717303,312.24692,1.4634037
49,2.273928,310.52243,3.5438066
50,2.552845,311.63113,2.5421855
51,3.319725,311.6495,1.3637131
52,2.108473,312.55362,1.6456743
53,1.8327583,312.15488,2.5538125
54,1.3649881,311.72842,3.2530448
55,1.1027105,312.46182,2.5678809
56,3.5658019,310.51785,2.2425382
57,-2.273928,310.52243,-3.5438066
58,-2.552845,311.63113,-2.5421855
59,-3.319725,311.6495,-1.3637131
60,-2.108473,312.55362,-1.6456743
61,-1.8327583,312.15488,-2.5538125
62,-1.3649881,311.72842,-3.2530448
63,-1.1027105,312.46182,-2.5678809
64,-3.5658019,310.51785,-2.2425382
65,-2.273928,307.34714,3.5438066
66,-2.552845,306.23843,2.5421855
67,-3.319725,306.22006,1.3637131
68,-2.108473,305.31595,1.6456743
69,-1.8327583,305.7147,2.5538125
70,-1.3649881,306.14114,3.2530448
71,-1.1027105,305.40775,2.5678809
72,-3.5658019,307.3517,2.2425382
73,1.5283862,306.6523,3.5643232
74,1.5239756,305.3643,2.27576
75,2.5162427,306.29025,2.631545
76,2.6761053,307.46463,3.3056154
77,3.5610542,306.98636,1.9423171
78,2.6717303,305.62265,1.4634037
79,1.5283862,311.21725,-3.5643232
80,1.5239756,312.50528,-2.27576
81,2.5162427,311.5793,-2.631545
82,2.6761053,310.40494,-3.3056154
83,3.5610542,310.8832,-1.9423171
84,2.6717303,312.24692,-1.4634037
85,-1.5283862,306.6523,-3.5643232
86,-1.5239756,305.3643,-2.27576
87,-2.5162427,306.29025,-2.631545
88,-2.6761053,307.46463,-3.3056154
89,-3.5610542,306.98636,-1.9423171
90,-2.6717303,305.62265,-1.4634037
91,2.273928,307.34714,-3.5438066
92,2.552845,306.23843,-2.5421855
93,3.319725,306.22006,-1.3637131
94,2.108473,305.31595,-1.6456743
95,1.8327583,305.7147,-2.5538125
96,1.3649881,306.14114,-3.2530448
97,1.1027105,305.40775,-2.5678809
98,3.5658019,307.3517,-2.2425382
